individual	time	statistic	proportion	rate_eur2afr	replicate
eur_1	40000	direct f4-ratio	0.006870893216118096	0%	1
eur_2	38000	direct f4-ratio	0.008071049236400733	0%	1
eur_3	36000	direct f4-ratio	0.001920249632452219	0%	1
eur_4	34000	direct f4-ratio	0.02448318281376579	0%	1
eur_5	32000	direct f4-ratio	3.90050706591857e-4	0%	1
eur_6	30000	direct f4-ratio	-0.002670347145128867	0%	1
eur_7	28000	direct f4-ratio	0.007380959524738217	0%	1
eur_8	26000	direct f4-ratio	0.00927120525668337	0%	1
eur_9	24000	direct f4-ratio	0.008731135047556184	0%	1
eur_10	22000	direct f4-ratio	0.009961294968345885	0%	1
eur_11	20000	direct f4-ratio	0.011341474391670917	0%	1
eur_12	18000	direct f4-ratio	0.019742566533649374	0%	1
eur_13	16000	direct f4-ratio	-0.00816106093792193	0%	1
eur_14	14000	direct f4-ratio	-0.006240811305469712	0%	1
eur_15	12000	direct f4-ratio	0.011491493894206247	0%	1
eur_16	10000	direct f4-ratio	0.008731135047556184	0%	1
eur_17	8000	direct f4-ratio	0.007170932221188755	0%	1
eur_18	6000	direct f4-ratio	0.013501755228179665	0%	1
eur_19	4000	direct f4-ratio	0.010951423685079061	0%	1
eur_20	2000	direct f4-ratio	0.0012001560202826369	0%	1
eur_21	0	direct f4-ratio	5.700741096342525e-4	0%	1
eur_1	40000	direct f4-ratio	0.10597117775713816	2.5%	1
eur_2	38000	direct f4-ratio	0.025406717200467388	2.5%	1
eur_3	36000	direct f4-ratio	0.03544356892470863	2.5%	1
eur_4	34000	direct f4-ratio	0.045420499146118586	2.5%	1
eur_5	32000	direct f4-ratio	0.036102705455852833	2.5%	1
eur_6	30000	direct f4-ratio	0.03712137100398478	2.5%	1
eur_7	28000	direct f4-ratio	0.04583994966593762	2.5%	1
eur_8	26000	direct f4-ratio	0.0659735746172514	2.5%	1
eur_9	24000	direct f4-ratio	0.06714204392246158	2.5%	1
eur_10	22000	direct f4-ratio	0.04697845821973215	2.5%	1
eur_11	20000	direct f4-ratio	0.07406297749947569	2.5%	1
eur_12	18000	direct f4-ratio	0.057254995955298565	2.5%	1
eur_13	16000	direct f4-ratio	0.0470084189711478	2.5%	1
eur_14	14000	direct f4-ratio	0.05270096174012044	2.5%	1
eur_15	12000	direct f4-ratio	0.049165593073074276	2.5%	1
eur_16	10000	direct f4-ratio	0.060580639362435205	2.5%	1
eur_17	8000	direct f4-ratio	0.07022800131827306	2.5%	1
eur_18	6000	direct f4-ratio	0.05572699763310064	2.5%	1
eur_19	4000	direct f4-ratio	0.06351679300116847	2.5%	1
eur_20	2000	direct f4-ratio	0.061629265661982804	2.5%	1
eur_21	0	direct f4-ratio	0.06612337837432963	2.5%	1
eur_1	40000	direct f4-ratio	0.012422546172957764	5%	1
eur_2	38000	direct f4-ratio	0.0270003292723082	5%	1
eur_3	36000	direct f4-ratio	0.01822971233573802	5%	1
eur_4	34000	direct f4-ratio	0.03140060466369324	5%	1
eur_5	32000	direct f4-ratio	0.05663483701020744	5%	1
eur_6	30000	direct f4-ratio	0.05412039392941599	5%	1
eur_7	28000	direct f4-ratio	0.036040350824677464	5%	1
eur_8	26000	direct f4-ratio	0.054569401622414464	5%	1
eur_9	24000	direct f4-ratio	0.0421767892956566	5%	1
eur_10	22000	direct f4-ratio	0.05301284162001976	5%	1
eur_11	20000	direct f4-ratio	0.045589247762444995	5%	1
eur_12	18000	direct f4-ratio	0.047355344688238994	5%	1
eur_13	16000	direct f4-ratio	0.038644595444068605	5%	1
eur_14	14000	direct f4-ratio	0.03948274313766576	5%	1
eur_15	12000	direct f4-ratio	0.06013709701559553	5%	1
eur_16	10000	direct f4-ratio	0.047265543149639294	5%	1
eur_17	8000	direct f4-ratio	0.05873020624420031	5%	1
eur_18	6000	direct f4-ratio	0.056335498548208456	5%	1
eur_19	4000	direct f4-ratio	0.05343191546681833	5%	1
eur_20	2000	direct f4-ratio	0.05292304008142006	5%	1
eur_21	0	direct f4-ratio	0.04115903852486006	5%	1
eur_1	40000	direct f4-ratio	0.01622804351789947	7.5%	1
eur_2	38000	direct f4-ratio	0.007536619461496383	7.5%	1
eur_3	36000	direct f4-ratio	0.013584148787455176	7.5%	1
eur_4	34000	direct f4-ratio	0.021607001762596487	7.5%	1
eur_5	32000	direct f4-ratio	0.017565185680423024	7.5%	1
eur_6	30000	direct f4-ratio	0.013341032030632713	7.5%	1
eur_7	28000	direct f4-ratio	0.002005713243785328	7.5%	1
eur_8	26000	direct f4-ratio	0.015559472436637696	7.5%	1
eur_9	24000	direct f4-ratio	0.02367349419558743	7.5%	1
eur_10	22000	direct f4-ratio	0.014982070139184345	7.5%	1
eur_11	20000	direct f4-ratio	0.017382848112806177	7.5%	1
eur_12	18000	direct f4-ratio	0.025922324196195223	7.5%	1
eur_13	16000	direct f4-ratio	0.027441803926335624	7.5%	1
eur_14	14000	direct f4-ratio	0.01759557527502583	7.5%	1
eur_15	12000	direct f4-ratio	0.020087522032456086	7.5%	1
eur_16	10000	direct f4-ratio	0.014343888652525375	7.5%	1
eur_17	8000	direct f4-ratio	0.0212727162219656	7.5%	1
eur_18	6000	direct f4-ratio	0.02792803743998055	7.5%	1
eur_19	4000	direct f4-ratio	0.015559472436637696	7.5%	1
eur_20	2000	direct f4-ratio	0.025588038655564336	7.5%	1
eur_21	0	direct f4-ratio	0.023734273384793045	7.5%	1
eur_1	40000	direct f4-ratio	0.021790203218606835	10%	1
eur_2	38000	direct f4-ratio	0.03198050041113591	10%	1
eur_3	36000	direct f4-ratio	0.05148008927522612	10%	1
eur_4	34000	direct f4-ratio	0.013126982262422178	10%	1
eur_5	32000	direct f4-ratio	0.03600375895688946	10%	1
eur_6	30000	direct f4-ratio	0.026253964524844357	10%	1
eur_7	28000	direct f4-ratio	0.031070128039469045	10%	1
eur_8	26000	direct f4-ratio	0.003582755785269587	10%	1
eur_9	24000	direct f4-ratio	0.021232233055327145	10%	1
eur_10	22000	direct f4-ratio	0.033918712557265356	10%	1
eur_11	20000	direct f4-ratio	0.027428638552801598	10%	1
eur_12	18000	direct f4-ratio	0.014448490543874076	10%	1
eur_13	16000	direct f4-ratio	0.022260072829789732	10%	1
eur_14	14000	direct f4-ratio	0.027957241865382357	10%	1
eur_15	12000	direct f4-ratio	0.025872195465758252	10%	1
eur_16	10000	direct f4-ratio	0.015241395512745212	10%	1
eur_17	8000	direct f4-ratio	0.02361094796194056	10%	1
eur_18	6000	direct f4-ratio	0.01964642311758487	10%	1
eur_19	4000	direct f4-ratio	0.01685657230118642	10%	1
eur_20	2000	direct f4-ratio	0.025519793257371078	10%	1
eur_21	0	direct f4-ratio	0.031099494890167976	10%	1
eur_1	40000	direct f4-ratio	0.0386778342805863	12.5%	1
eur_2	38000	direct f4-ratio	0.018157343703260546	12.5%	1
eur_3	36000	direct f4-ratio	0.020520490577325756	12.5%	1
eur_4	34000	direct f4-ratio	0.015076278791504636	12.5%	1
eur_5	32000	direct f4-ratio	-0.001226443314388274	12.5%	1
eur_6	30000	direct f4-ratio	0.004367334729285073	12.5%	1
eur_7	28000	direct f4-ratio	0.03266527071492671	12.5%	1
eur_8	26000	direct f4-ratio	0.029285073287466348	12.5%	1
eur_9	24000	direct f4-ratio	0.033831887526174095	12.5%	1
eur_10	22000	direct f4-ratio	0.03694286568950045	12.5%	1
eur_11	20000	direct f4-ratio	0.022046066407418487	12.5%	1
eur_12	18000	direct f4-ratio	0.035865988632964405	12.5%	1
eur_13	16000	direct f4-ratio	0.02599461561471732	12.5%	1
eur_14	14000	direct f4-ratio	0.01588393658390667	12.5%	1
eur_15	12000	direct f4-ratio	0.009661980257253963	12.5%	1
eur_16	10000	direct f4-ratio	0.014747233024229735	12.5%	1
eur_17	8000	direct f4-ratio	0.020580317080466648	12.5%	1
eur_18	6000	direct f4-ratio	0.007597965898893209	12.5%	1
eur_19	4000	direct f4-ratio	0.0223152856715525	12.5%	1
eur_20	2000	direct f4-ratio	0.03128926114268621	12.5%	1
eur_21	0	direct f4-ratio	0.0052946455279688906	12.5%	1
eur_1	40000	direct f4-ratio	-0.008860720548872412	15%	1
eur_2	38000	direct f4-ratio	0.008922253330461804	15%	1
eur_3	36000	direct f4-ratio	-0.011260499030858689	15%	1
eur_4	34000	direct f4-ratio	0.007845429652647447	15%	1
eur_5	32000	direct f4-ratio	0.006430175676091437	15%	1
eur_6	30000	direct f4-ratio	-0.00827615912377319	15%	1
eur_7	28000	direct f4-ratio	0.03507368550595329	15%	1
eur_8	26000	direct f4-ratio	-0.0037842660677475924	15%	1
eur_9	24000	direct f4-ratio	0.032489308679198844	15%	1
eur_10	22000	direct f4-ratio	0.00901455250284589	15%	1
eur_11	20000	direct f4-ratio	0.020367350706088666	15%	1
eur_12	18000	direct f4-ratio	0.011845060455957911	15%	1
eur_13	16000	direct f4-ratio	0.030058763806417865	15%	1
eur_14	14000	direct f4-ratio	-0.015044765098606281	15%	1
eur_15	12000	direct f4-ratio	0.0350429191151586	15%	1
eur_16	10000	direct f4-ratio	0.009260683629203457	15%	1
